Id;Name;Description;Room;RewardPointsCount;ChoreDuration;Frequency;EveryX
1;Make Bed;Arrange pillows and straighten sheets;Bedroom;10;1;Daily;1
2;Empty Dishwasher;Put away clean dishes;Kitchen;20;1;Daily;1
3;Feed the Dog;Give food and fresh water to the dog;Hallway;15;1;Daily;1
4;Water Plants;Water indoor plants in the living room;Living Room;25;2;Weekly;1
5;Take Out Trash;Collect trash bags and take them outside;Kitchen;30;1;Weekly;1
6;Vacuum Living Room;Vacuum the carpet and floor;Living Room;50;3;Weekly;1
7;Clean Bathroom Sink;Wipe down the sink and faucet;Bathroom;40;2;Weekly;1
8;Sort Laundry;Separate whites and colors;Laundry Room;30;3;Weekly;1
9;Dust Shelves;Remove dust from bookshelves;Bedroom;35;5;Monthly;1
10;Clean Windows;Wipe windows inside the room;Living Room;100;7;Monthly;1
11;Mow the Lawn;Cut the grass in the garden;Garden;200;3;Weekly;2
12;Clean Hamster Cage;Change bedding and clean the cage;Bedroom;75;2;Weekly;1
13;Organize Toys;Put all toys back in their boxes;Playroom;45;1;Daily;1
14;Set the Table;Prepare plates and cutlery for dinner;Dining Room;15;1;Daily;1
15;Fold Clothes;Fold clean laundry neatly;Bedroom;40;3;Weekly;1
16;Sweep Porch;Sweep leaves and dirt from the entrance;Entrance;30;3;Weekly;2
17;Wash Car;Help wash the family car;Garage;150;7;Monthly;1
18;Clean Mirror;Wipe the mirror until streak-free;Bathroom;20;2;Weekly;1
19;Organize Books;Sort books by size or color;Living Room;60;5;Quarterly;1
20;Deep Clean Room;Thorough cleaning under furniture;Bedroom;300;14;Yearly;1