Id;Name;Description;Cost;QuantityAvailable
1;Extra Screen Time;30 minutes of extra console or PC time;50;10
2;Ice Cream Trip;A trip to the favorite ice cream shop;100;5
3;Movie Pick;You get to choose the movie for movie night;75;1
4;Skip One Chore;One day pass for a single daily chore;150;3
5;Allowance Bonus;Extra $5 added to your allowance;200;10
6;Pizza Night;We order pizza for dinner instead of cooking;300;2
7;New Board Game;Purchase a new board game (up to $30);1000;1
8;Stay Up Late;Stay up 1 hour later on a weekend;40;8
9;Park Visit;A trip to the local park or playground;20;10
10;Sleepover;Host a sleepover with a best friend;500;2
11;Bake Cookies;Baking cookies together;60;5
12;Choose Dinner;You decide what we eat for dinner;80;4
13;Dessert Before Dinner;Eat your dessert before the main meal;120;3
14;New Book;Buy a new book of your choice;250;5
15;Bike Ride;Go for a long bike ride with family;30;10
16;Mobile App;Buy one mobile app or game (up to $5);150;5
17;Special Breakfast;Pancakes or waffles for breakfast;70;4
18;Picnic;Family picnic in the garden or park;90;3
19;Zoo Trip;A family trip to the Zoo;1500;1
20;No Bedtime Story;Skip reading to watch a short video instead;30;5